epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3649.88,0.51926,0.2994,0.87678,0.98564,0.97321,0.99416,0.89195,0.46183,0.23923,0.83291,0.0011882,0.0011882,0.0011882
43,3737.01,0.52321,0.29921,0.87516,0.98915,0.97667,0.9942,0.89213,0.45613,0.2378,0.83121,0.0011684,0.0011684,0.0011684
44,3822.22,0.51784,0.29476,0.87478,0.9918,0.97321,0.99416,0.89118,0.45489,0.23191,0.83073,0.0011486,0.0011486,0.0011486
45,3908.67,0.52012,0.30213,0.87153,0.98734,0.97452,0.9941,0.88756,0.4639,0.23868,0.83696,0.0011288,0.0011288,0.0011288
46,3992.54,0.51714,0.29555,0.87459,0.98389,0.98151,0.99419,0.89268,0.45929,0.23356,0.83104,0.001109,0.001109,0.001109
47,4075.53,0.52157,0.29298,0.87366,0.9875,0.98036,0.99432,0.89603,0.45827,0.23272,0.83006,0.0010892,0.0010892,0.0010892
48,4158.84,0.50853,0.28524,0.86601,0.98724,0.98571,0.99423,0.89586,0.44827,0.2229,0.82913,0.0010694,0.0010694,0.0010694
49,4241.47,0.50763,0.28899,0.86729,0.98563,0.97967,0.99418,0.89328,0.45339,0.22678,0.82945,0.0010496,0.0010496,0.0010496
50,4323.64,0.51376,0.28845,0.86574,0.99096,0.97846,0.99416,0.89645,0.44667,0.22165,0.8324,0.0010298,0.0010298,0.0010298
51,4407.6,0.50784,0.28682,0.87206,0.98374,0.97209,0.99358,0.89207,0.45018,0.22914,0.82951,0.00101,0.00101,0.00101
52,4489.25,0.51101,0.28698,0.86918,0.98919,0.98038,0.99414,0.89306,0.4499,0.22044,0.82834,0.0009902,0.0009902,0.0009902
53,4572.76,0.51013,0.28771,0.86845,0.98388,0.98098,0.99421,0.89546,0.45167,0.2255,0.83016,0.0009704,0.0009704,0.0009704
54,4658.68,0.50409,0.28171,0.86669,0.98743,0.98185,0.99409,0.89154,0.45511,0.22862,0.82837,0.0009506,0.0009506,0.0009506
55,4744.91,0.49694,0.27849,0.86762,0.98213,0.9816,0.99414,0.89448,0.44614,0.22322,0.82858,0.0009308,0.0009308,0.0009308
56,4829.32,0.5015,0.28327,0.86678,0.98572,0.98642,0.99441,0.89589,0.44175,0.21673,0.82611,0.000911,0.000911,0.000911
57,4914.03,0.49303,0.27712,0.86491,0.98079,0.97857,0.99416,0.89314,0.45032,0.22764,0.82998,0.0008912,0.0008912,0.0008912
58,5000.23,0.4922,0.27318,0.86459,0.97982,0.98214,0.99422,0.89334,0.44851,0.22293,0.82774,0.0008714,0.0008714,0.0008714
59,5084.07,0.49553,0.27667,0.86531,0.98673,0.97679,0.99373,0.89272,0.44915,0.22896,0.82908,0.0008516,0.0008516,0.0008516
60,5169.58,0.49671,0.27756,0.86632,0.98219,0.98463,0.99408,0.89451,0.44776,0.21836,0.8274,0.0008318,0.0008318,0.0008318
61,5251.99,0.49533,0.27321,0.86367,0.98365,0.98214,0.99421,0.89781,0.44551,0.21957,0.82722,0.000812,0.000812,0.000812
62,5337.51,0.48913,0.26863,0.86379,0.97996,0.97679,0.9941,0.89796,0.43655,0.21452,0.82282,0.0007922,0.0007922,0.0007922
63,5422.28,0.48425,0.2654,0.85987,0.98716,0.97679,0.99415,0.89412,0.44617,0.21537,0.82897,0.0007724,0.0007724,0.0007724
64,5508.26,0.48969,0.26706,0.86471,0.98019,0.98214,0.9939,0.89824,0.43554,0.21799,0.82544,0.0007526,0.0007526,0.0007526
65,5595.28,0.49066,0.2687,0.86311,0.98737,0.97689,0.99414,0.89805,0.44101,0.21635,0.82366,0.0007328,0.0007328,0.0007328
66,5678.79,0.48767,0.27054,0.86379,0.98355,0.97857,0.99396,0.89673,0.44464,0.21869,0.82575,0.000713,0.000713,0.000713
67,5765.29,0.47391,0.25913,0.8587,0.98343,0.98036,0.99436,0.89788,0.43538,0.21124,0.82359,0.0006932,0.0006932,0.0006932
68,5848.87,0.48049,0.26314,0.85713,0.98745,0.98326,0.99437,0.89602,0.45309,0.21205,0.82925,0.0006734,0.0006734,0.0006734
69,5934.29,0.47514,0.26061,0.86349,0.98743,0.98198,0.99438,0.89718,0.43899,0.20843,0.8257,0.0006536,0.0006536,0.0006536
70,6017.65,0.47944,0.26337,0.85713,0.98092,0.9875,0.99424,0.9005,0.43456,0.20691,0.82503,0.0006338,0.0006338,0.0006338
71,6105.01,0.47694,0.25581,0.86054,0.98495,0.98036,0.99414,0.89929,0.43856,0.20931,0.82389,0.000614,0.000614,0.000614
72,6193.36,0.47737,0.25886,0.86165,0.98388,0.98095,0.99432,0.89944,0.43667,0.20768,0.82414,0.0005942,0.0005942,0.0005942
73,6280.13,0.47135,0.25404,0.85971,0.98294,0.98393,0.99425,0.90148,0.43815,0.20591,0.82512,0.0005744,0.0005744,0.0005744
74,6365.47,0.4783,0.25806,0.86144,0.98666,0.97857,0.99411,0.9004,0.43246,0.20696,0.82364,0.0005546,0.0005546,0.0005546
75,6451.44,0.47068,0.25349,0.85899,0.98853,0.97679,0.99422,0.89977,0.43928,0.2066,0.82317,0.0005348,0.0005348,0.0005348
76,6537.18,0.4674,0.25151,0.85578,0.98554,0.97857,0.9941,0.89694,0.43778,0.20617,0.82452,0.000515,0.000515,0.000515
77,6622.89,0.46956,0.25448,0.85702,0.98689,0.98036,0.99439,0.8974,0.43775,0.20493,0.8257,0.0004952,0.0004952,0.0004952
78,6709.17,0.46376,0.24837,0.85536,0.97875,0.98701,0.99439,0.89808,0.43788,0.20373,0.82465,0.0004754,0.0004754,0.0004754
79,6795.65,0.46797,0.24838,0.86104,0.98512,0.97679,0.99423,0.89494,0.4406,0.20641,0.82519,0.0004556,0.0004556,0.0004556
80,6881.7,0.46552,0.25044,0.85836,0.98387,0.98026,0.99415,0.89904,0.43724,0.2035,0.8251,0.0004358,0.0004358,0.0004358
81,6966.49,0.4612,0.24459,0.85435,0.99096,0.97835,0.99442,0.89878,0.43471,0.19973,0.8246,0.000416,0.000416,0.000416
82,7054.44,0.46163,0.24363,0.8531,0.98564,0.98063,0.99427,0.90299,0.43194,0.19902,0.82262,0.0003962,0.0003962,0.0003962
83,7141.97,0.46125,0.24408,0.85604,0.98829,0.975,0.9942,0.90004,0.43215,0.19843,0.82527,0.0003764,0.0003764,0.0003764
84,7226.5,0.45071,0.23856,0.85541,0.98565,0.98105,0.99429,0.89916,0.43092,0.19511,0.82612,0.0003566,0.0003566,0.0003566
85,7313.22,0.45168,0.23663,0.85426,0.98708,0.98393,0.99432,0.9004,0.43155,0.19475,0.82391,0.0003368,0.0003368,0.0003368
86,7397.57,0.44792,0.23562,0.85243,0.98393,0.98416,0.99428,0.89798,0.43102,0.19568,0.82512,0.000317,0.000317,0.000317
87,7483.82,0.45562,0.24,0.85647,0.98389,0.98137,0.99414,0.89958,0.42841,0.19369,0.82194,0.0002972,0.0002972,0.0002972
88,7570.39,0.44317,0.2328,0.8518,0.98917,0.97832,0.99406,0.89993,0.43066,0.19561,0.82292,0.0002774,0.0002774,0.0002774
89,7655.94,0.44733,0.23309,0.85338,0.98471,0.97857,0.99425,0.90058,0.4301,0.19468,0.82336,0.0002576,0.0002576,0.0002576
90,7742.47,0.45552,0.23636,0.85478,0.98736,0.97604,0.99405,0.89813,0.42833,0.19271,0.82316,0.0002378,0.0002378,0.0002378
91,7823.95,0.39853,0.19973,0.82243,0.98305,0.98393,0.99434,0.89921,0.42826,0.19614,0.82279,0.000218,0.000218,0.000218
92,7903.28,0.39685,0.19955,0.82379,0.98916,0.97756,0.99436,0.9021,0.42522,0.19595,0.82246,0.0001982,0.0001982,0.0001982
93,7982.65,0.39203,0.19677,0.82473,0.98842,0.97679,0.99423,0.90146,0.4273,0.19406,0.82282,0.0001784,0.0001784,0.0001784
94,8062.94,0.38712,0.19354,0.82034,0.99004,0.975,0.99416,0.89919,0.43032,0.19632,0.82259,0.0001586,0.0001586,0.0001586
95,8141.56,0.38264,0.19127,0.82447,0.98686,0.98036,0.99423,0.90355,0.42816,0.1963,0.82235,0.0001388,0.0001388,0.0001388
96,8220.51,0.38377,0.1914,0.81986,0.98667,0.98036,0.99416,0.89854,0.43001,0.19754,0.82337,0.000119,0.000119,0.000119
97,8299.64,0.38352,0.19005,0.82003,0.98737,0.98036,0.99434,0.90182,0.42921,0.19842,0.82346,9.92e-05,9.92e-05,9.92e-05
98,8379.07,0.38135,0.18849,0.81963,0.9874,0.97966,0.99434,0.89869,0.42928,0.19439,0.82287,7.94e-05,7.94e-05,7.94e-05
99,8459.66,0.37988,0.18885,0.82318,0.98049,0.98703,0.99423,0.90286,0.42647,0.19146,0.82196,5.96e-05,5.96e-05,5.96e-05
100,8538.63,0.37544,0.18518,0.81916,0.98567,0.98288,0.99432,0.90073,0.4273,0.19315,0.82236,3.98e-05,3.98e-05,3.98e-05
